result_rank,as_of_date,backtest_as_of_date,stock_code,stock_name,sector,sub_sector,ai_exposure,composite_score,momentum_score,growth_score,valuation_score,quality_score,volatility_score,data_provider,provider_adjustment,liquidity_score,risk_adjusted_momentum,return_acceleration,growth_data_coverage,quality_data_coverage,rank,target_weight,position_value,recommendation,backtest_selected_count,backtest_avg_rank,backtest_avg_weight,backtest_avg_signal_score,backtest_avg_holding_return,backtest_total_contribution,backtesting_score
1,2026-05-26,2026-05-08,002281.SZ,光迅科技,中游-光模块,光器件,高,68.79204996329142,90.23085790787904,87.41071428571429,50.0,48.92478023193753,25.14880952380953,baostock,qfq,88.11348449302096,2.7842255848641004,12.206240360484957,0.0,0.0,2,0.0685714285714285,6.857142857142856,核心配置,2,4.5,0.0754284314419609,69.42198550020231,0.4820354911581249,0.0778614548054242,48.20354911581249
2,2026-05-26,2026-05-08,301308.SZ,江波龙,上游-存储器,存储模组+企业级SSD,高,62.686727356746914,81.78109471530063,87.0,50.0,41.20715576404601,14.360119047619046,baostock,qfq,79.24955884585621,0.9930217660741684,19.981657466181105,0.0,0.0,12,0.02,2.0,卫星配置,3,6.333333333333333,0.053121204305019,64.37381104586333,0.2734165747647532,0.0435726531853709,27.341657476475323
3,2026-05-26,2026-05-08,688008.SH,澜起科技,中游-芯片,内存接口芯片,高,68.38250511903048,89.16457366885253,87.0,60.0,43.22370415247076,24.330357142857142,baostock,qfq,85.05356473594863,0.8593966395060406,53.01078355792499,0.0,0.0,3,0.0661224489795918,6.612244897959184,核心配置,1,7.0,0.0606092257522584,67.28068609680903,0.2133294864396997,0.0129297350032371,21.332948643969974
4,2026-05-26,2026-05-08,300502.SZ,新易盛,中游-光模块,光模块,高,57.01861672635637,60.23889874834163,78.57142857142858,50.0,46.99292825775044,26.450892857142858,baostock,qfq,76.1755787887522,1.0885032468643527,-19.87886033391029,0.0,0.0,19,0.02,2.0,卫星配置,1,9.0,0.0816652071982556,62.52826454824148,0.1873137024659026,0.0152970123229503,18.731370246590263
5,2026-05-26,2026-05-08,688017.SH,绿的谐波,智能机器人,机器人减速器,高,69.7836088426302,87.89267459551165,87.0,55.00000000000001,50.2601731724524,41.85267857142857,baostock,qfq,78.78503972343367,0.7693893054585013,41.98407033893968,0.0,0.0,1,0.0710204081632653,7.10204081632653,核心配置,1,12.0,0.0568782645874967,62.32856835116607,0.1734338747099768,0.0098646178141888,17.343387470997683
6,2026-05-26,2026-05-08,300476.SZ,胜宏科技,上游-PCB/CCL,AI服务器PCB,高,61.02178733471353,64.27103226068036,70.32142857142858,50.0,54.652850733788966,44.19642857142857,baostock,qfq,83.42050366894483,0.7392978214097562,-2.857268010577462,0.0,0.0,15,0.02,2.0,卫星配置,1,10.0,0.05822307891879,63.80224819311515,0.0918445005936252,0.0053474696063195,9.184450059362526
7,2026-05-26,2026-05-08,688041.SH,海光信息,中游-芯片,CPU+DCU,高,59.753346569333544,69.5682978830349,76.07142857142857,60.0,42.96823471908936,36.56994047619048,baostock,qfq,62.215019272718635,0.5201072292667772,16.237864029366143,0.0,0.0,17,0.02,2.0,卫星配置,1,5.0,0.0609932438773212,67.70697438225008,0.0912405063291139,0.0055650544540219,9.124050632911397
8,2026-05-26,2026-05-08,002415.SZ,海康威视,下游-AI应用,安防+AI,高,50.781609401722534,33.801421241990056,48.39285714285714,50.0,62.96715560283238,92.5967261904762,baostock,qfq,40.29150718082854,0.0797366309399301,-2.530789223478421,0.0,0.0,33,0.0111111111111111,1.1111111111111112,观察,2,6.0,0.071604915297129,64.90643687753453,0.0862869310682859,0.0146053241634765,8.628693106828594
9,2026-05-26,2026-05-08,300548.SZ,长芯博创,中游-光模块,光模块+硅光,高,45.741410904733264,32.33226643543268,76.21428571428572,50.0,41.68158634055597,10.90029761904762,baostock,qfq,76.83241086944648,0.6112385725749001,-28.099603888454915,0.0,0.0,43,0.0,0.0,不配置,1,11.0,0.0575653194848501,64.99479939608028,0.0702014102614048,0.0040411666099848,7.020141026140481
10,2026-05-26,2026-05-08,688256.SH,寒武纪-U,中游-芯片,AI芯片设计,高,64.54346363423774,86.77462282966832,84.42857142857142,60.0,38.992749342988375,18.191964285714285,baostock,qfq,72.29044773882427,1.453209817265328,24.960809938584173,0.0,0.0,8,0.0538775510204081,5.387755102040816,核心配置,1,6.0,0.0607684188258674,67.45740208486755,0.0373132268644387,0.0022674657978428,3.731322686443872
